class	entity_count
HistoricalDistrict	0
foaf:Document	0
HistoricalRegion	0
DistrictWaterBoard	0
MicroRegion	0
Capital	0
gml:_Feature	0
CapitalOfRegion	0
geo:SpatialThing	0
Canton	0
Municipality	0
NaturalRegion	0
foaf:Person	0
foaf:Image	0
HistoricalPeriod	0
Treaty	0
SystemOfLaw	0
DocumentType	0
Type	0
ChristianDoctrine	0
TheologicalConcept	0
Taxon	0
Tax	0
Standard	0
State	0
ScientificConcept	0
PoliticalConcept	0
PhilosophicalConcept	0
MathematicalConcept	0
Ideology	0
MovieGenre	0
Manhua	0
Unknown	0
WikimediaTemplate	0
Painting	0
Sculpture	0
CollectionOfValuables	0
Archive	0
File	0
MovingImage	0
StillImage	0
LineOfFashion	0
NationalAnthem	0
Opera	0
LightNovel	0
Article	0
Annotation	0
Reference	0
LiteraryGenre	0
ArtisticGenre	0
CardinalDirection	0
Letter	0
Street	0
Territory	0
OldTerritory	0
Population	0
Protocol	0
PublicService	0
Relationship	0
StatedResolution	0
Resume	0
Quote	0
Cat	0
Dog	0
UndergroundJournal	0
MultiVolumePublication	0
Law	0
AcademicSubject	0
SoccerLeagueSeason	0
Spreadsheet	0
StarCluster	0
Statistic	0
Tank	0
Drama	0
MilitaryService	0
GeologicalPeriod	0
PeriodOfArtisticStyle	0
PrehistoricalPeriod	0
Manhwa	0
ProtohistoricalPeriod	0
Reign	0
Tenure	0
GovernmentType	0
Flag	0
Locality	0
MovieDirector	0
RomanEmperor	0
Referee	0
Psychologist	0
Producer	0
PoliticianSpouse	0
VicePrimeMinister	0
VicePresident	0
Minister	0
Lieutenant	0
Deputy	0
MemberResistanceMovement	0
Professor	0
Linguist	0
Egyptologist	0
DBpedian	0
SerialKiller	0
AmericanFootballCoach	0
Vicar	0
ChristianPatriarch	0
Archbishop	0
SpeedSkater	0
Ski_jumper	0
Biologist	0
TelevisionDirector	0
Atoll	0
Polysaccharide	0
Battery	0
Depth	0
Demographics	0
Cipher	0
Vaccine	0
MonoclonalAntibody	0
CombinationDrug	0
ChartsPlacements	0
Browser	0
Blazon	0
Lipid	0
TheatreDirector	0
Hormone	0
NobelPrize	0
Decoration	0
Area	0
BloodVessel	0
Altitude	0
Algorithm	0
SongWriter	0
PlayWright	0
MusicComposer	0
NordicCombined	0
CrossCountrySkier	0
BobsleighAthlete	0
EmployersOrganisation	0
HockeyClub	0
SportsClub	0
SambaSchool	0
ClericalOrder	0
ReligiousOrganisation	0
Parliament	0
RecordOffice	0
InternationalOrganisation	0
GovernmentCabinet	0
GeopoliticalOrganisation	0
Caterer	0
Biathlete	0
NarutoCharacter	0
DisneyCharacter	0
NobleFamily	0
Family	0
Employer	0
Deity	0
TeamSport	0
Athletics	0
CardGame	0
BoardGame	0
NationalSoccerClub	0
CyclingLeague	0
FormulaOneRacing	0
PaintballLeague	0
WaterPoloPlayer	0
TeamMember	0
Surfer	0
RallyDriver	0
DTMRacer	0
MotocycleRacer	0
HighDiver	0
CanadianFootballPlayer	0
Fencer	0
BullFighter	0
AthleticsPlayer	0
ArcherPlayer	0
Sculptor	0
MusicDirector	0
BackScene	0
Humorist	0
Dancer	0
Aristocrat	0
Archeologist	0
TermOfOffice	0
RadioControlledRacingLeague	0
Camera	0
DigitalCamera	0
RocketEngine	0
TramStation	0
SkiResort	0
Pyramid	0
Memorial	0
GraveMonument	0
Windmill	0
WindMotor	0
Watermill	0
Treadmill	0
Mill	0
Fort	0
RouteStop	0
Monastery	0
MetroStation	0
RestArea	0
NuclearPowerStation	0
Port	0
Lock	0
Dike	0
Cinema	0
Temple	0
Synagogue	0
Shrine	0
Square	0
WaterTower	0
Zoo	0
Nebula	0
Intercommunality	0
GatedCommunity	0
HistoricalCountry	0
Community	0
Agglomeration	0
HotSpring	0
Forest	0
Desert	0
LunarCrater	0
Cape	0
Ocean	0
Beach	0
Archipelago	0
CoalPit	0
Mine	0
CountrySeat	0
Cemetery	0
Openswarm	0
Globularswarm	0
Swarm	0
BrownDwarf	0
Mosque	0
Church	0
Instrument	0
StormSurge	0
FileSystem	0
MotorRace	0
InternationalFootballLeagueEvent	0
CyclingCompetition	0
SpaceMission	0
Rebellion	0
Meeting	0
HistoricalEvent	0
Attack	0
PenaltyShootOut	0
PersonalEvent	0
Factory	0
LifeCycleEvent	0
Contest	0
Competition	0
ElectricalSubstation	0
ElectionDiagram	0
Diploma	0
Robot	0
MobilePhone	0
Organ	0
Guitar	0
Beer	0
Vodka	0
Wine	0
ControlledDesignationOfOriginWine	0
Casino	0
Arena	0
Profession	0
PoliticalFunction	0
Medicine	0
MedicalSpecialty	0
Media	0
Tram	0
TrainCarriage	0
MovingWalkway	0
Escalator	0
ConveyorSystem	0
On-SiteTransportation	0
MilitaryVehicle	0
MilitaryAircraft	0
TrackList	0
List	0
TopLevelDomain	0
Identifier	0
GrossDomesticProductPerCapita	0
GrossDomesticProduct	0
skos:OrderedCollection	0
